Australian Bureau of Statistics

"2006 Census - Migration"
"State Suburb (SSC) by Sex Male/Female (SEXP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Sex Male/Female (SEXP)","Male","Female","Total",
"State Suburb (SSC)",
"Acton",893,911,1805,
"Ainslie",2254,2559,4814,
"Amaroo",2678,2825,5505,
"Aranda",1175,1237,2412,
"Banks",2412,2493,4903,
"Barton",485,459,940,
"Belconnen",1631,1427,3055,
"Bonner",12,4,15,
"Bonython",1629,1734,3361,
"Braddon",1831,1742,3573,
"Bruce",1646,1740,3384,
"Calwell",2892,3032,5927,
"Campbell",2750,2050,4800,
"Chapman",1340,1358,2690,
"Charnwood",1509,1516,3017,
"Chifley",1181,1141,2326,
"Chisholm",2643,2733,5378,
"City",440,282,719,
"Conder",2499,2553,5049,
"Cook",1344,1474,2816,
"Curtin",2433,2698,5134,
"Deakin",1138,1469,2606,
"Dickson",968,980,1947,
"Downer",1672,1697,3373,
"Duffy",1439,1498,2941,
"Dunlop",2922,2929,5846,
"Evatt",2720,2777,5495,
"Fadden",1600,1618,3212,
"Farrer",1630,1734,3359,
"Fisher",1445,1533,2974,
"Florey",2499,2610,5109,
"Flynn",1814,1738,3548,
"Forrest",580,610,1190,
"Franklin",0,0,0,
"Fraser",1088,1073,2159,
"Fyshwick",46,12,57,
"Garran",1552,1629,3174,
"Gilmore",1439,1466,2905,
"Giralang",1611,1692,3305,
"Gordon",3749,4124,7869,
"Gowrie",1600,1631,3224,
"Greenway",529,600,1129,
"Griffith",2011,1895,3904,
"Gungahlin",1875,1981,3853,
"Hackett",1380,1502,2883,
"Hall",170,160,338,
"Harrison",145,155,305,
"Hawker",1378,1445,2826,
"Higgins",1476,1545,3025,
"Holder",1260,1350,2607,
"Holt",2228,2468,4694,
"Hughes",1346,1551,2895,
"Hume",3,3,6,
"Isaacs",1162,1262,2426,
"Isabella Plains",2105,2215,4314,
"Kaleen",3829,3757,7589,
"Kambah",7740,7843,15581,
"Kingston",1200,1255,2454,
"Latham",1823,1865,3686,
"Lawson",0,0,0,
"Lyneham",2131,2191,4322,
"Lyons",1256,1188,2445,
"Macarthur",827,754,1582,
"Macgregor",1713,1772,3488,
"Macquarie",1181,1202,2382,
"Mawson",1400,1457,2864,
"McKellar",1284,1320,2602,
"Melba",1580,1689,3266,
"Mitchell",3,3,3,
"Monash",2711,2837,5547,
"Narrabundah",2575,2947,5528,
"Ngunnawal",4307,4632,8941,
"Nicholls",3464,3534,6992,
"O'Connor",2370,2543,4908,
"O'Malley",338,350,684,
"Oaks Estate",156,86,241,
"Oxley",888,897,1792,
"Page",1228,1466,2692,
"Palmerston",2790,2915,5707,
"Parkes",3,0,3,
"Pearce",1230,1280,2508,
"Phillip",917,991,1912,
"Pialligo",61,51,109,
"Red Hill",1615,1528,3144,
"Reid",849,756,1607,
"Richardson",1630,1603,3231,
"Rivett",1497,1572,3072,
"Russell",0,0,0,
"Scullin",1360,1432,2795,
"Spence",1295,1299,2595,
"Stirling",986,1060,2041,
"Symonston",276,196,467,
"Tharwa",61,42,109,
"Theodore",2035,2078,4111,
"Torrens",1144,1122,2264,
"Turner",1563,1445,3005,
"Wanniassa",3939,3986,7929,
"Waramanga",1229,1307,2532,
"Watson",1991,2199,4190,
"Weetangera",1263,1282,2543,
"Weston",1504,1671,3177,
"Yarralumla",1428,1480,2907,
"No Usual Address",371,337,709,
"Unclassified ACT",355,269,624,
"Total",159654,164382,324034,

"Data Source: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
